project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554274,74047902,naseixas,1,8,0,3250,3250,2,0,0,0,0,0,0,0,0,1,2,42
50554274,74047902,rodrigues.filipealexandre2003,1,3,1894,2589,4483,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,6578430-Curvu,1,32,2308,2605,4913,7,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,frederico.ferreira,1,24,2372,2651,5023,3,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,mars.gomes2003,1,3,57,0,57,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,130778805+ReapperDxD,1,1,10,0,10,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,pedromiguelbritesantos,1,3,30,0,30,1,0,1,1,2,3,1,1,1,2,2,42
50554274,74047902,ruipavidal,1,6,51,1,52,2,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,menesesm133,1,17,170,0,170,5,0,1,1,2,7,1,1,1,2,2,42
50554274,74047902,besteststurbina,1,10,179,17,196,2,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,onunorodrigues,1,5,50,0,50,2,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,lucas.m.loberto,1,8,64,0,64,2,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,82334391+HenriqueJLM,1,1,11,0,11,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,henriquejlm,1,1,11,0,11,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,mikeduc72,1,5,62,0,62,3,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,claudia.reis.torres,1,1,11,0,11,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,uc2021221907,1,2,22,0,22,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,mikeresmoreira,1,2,16,0,16,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,marlucas2003,1,2,16,0,16,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,uc2021226534,1,6,108,0,108,2,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,diogo.felipe.santos,1,2,28,0,28,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,74557389+gabao000,1,1,14,0,14,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,uc2021242097,1,1,14,0,14,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,ricardosias.escola,1,2,36,0,36,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,invalidot,1,20,313,13,326,4,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,98288254+j-p-gaspar,1,1,8,0,8,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,jpepe.gaspar,1,1,8,0,8,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,simaosts03,1,1,13,0,13,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,uc2021216084,1,3,39,0,39,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,ruicoelho22042003,1,9,259,0,259,3,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,francisco.nsr,1,2,20,0,20,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,craveirpo,1,4,33,0,33,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,uc2021221615,1,2,20,0,20,1,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,uc2021237081,1,3,37,19,56,2,0,0,0,0,0,0,0,0,0,2,42
50554274,74047902,tiagoorietnomdias,1,6,102,0,102,1,0,1,1,2,5,1,1,1,2,2,42
