project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
50521584,74047902,tomas7025,4,83,124234,39264,163498,29,0,0,0,0,0,20,19,20,38,53,99,15
50521584,74047902,franciscosilva.fs227,4,83,887,147,1034,26,0,0,0,0,0,24,22,24,32,53,99,16
50521584,74047902,joaosamueldiogo,4,67,316527,5122,321649,22,0,2,1,3,10,13,19,13,19,53,99,15
50521584,74047902,catarinasilva2003,4,76,326728,12308,339036,19,0,8,7,8,17,20,28,20,28,53,99,16
50521584,74047902,be.felix09,4,47,65070,492,65562,20,0,1,0,5,0,11,11,11,12,53,99,16
50521584,74047902,artur2002,4,0,0,0,0,0,0,15,15,42,86,15,12,15,19,53,99,16
50521584,74047902,hugo8marques,4,0,0,0,0,0,0,0,0,14,0,11,14,11,13,53,99,15
50521584,74047902,anacmorais,4,0,0,0,0,0,0,4,3,5,9,28,25,28,41,53,99,19
50521584,74047902,sjooaaoo,4,0,0,0,0,0,0,0,0,1,0,26,15,26,43,53,99,16
50521584,74047902,migworksonlab,4,0,0,0,0,0,0,0,0,26,0,13,12,13,13,53,99,15
50521584,74047902,guilherme.m,4,0,0,0,0,0,0,1,1,2,6,6,6,6,6,53,99,7
50521584,74047902,hugocidra,4,0,0,0,0,0,0,0,0,2,0,16,14,16,16,53,99,12
50521584,74047902,rodrig0liveira,4,0,0,0,0,0,0,4,4,17,31,15,15,15,16,53,99,15
50521584,74047902,stefanosdei,4,0,0,0,0,0,0,1,1,6,3,12,12,12,12,53,99,15
50521584,74047902,ricardosimoes2019231869,4,0,0,0,0,0,0,1,0,4,0,20,27,20,24,53,99,18
50521584,74047902,antoniotavaresmartins,4,0,0,0,0,0,0,0,0,1,0,7,1,7,7,53,99,10
50521584,74047902,tiago_conceicao,4,0,0,0,0,0,0,0,0,2,0,12,12,12,14,53,99,12
50521584,74047902,raulserrarodrigues,4,0,0,0,0,0,0,0,0,1,0,16,15,16,16,53,99,13
50521584,74047902,mnavalho,4,0,0,0,0,0,0,19,18,38,35,14,14,14,18,53,99,15
50521584,74047902,cordeir0,4,0,0,0,0,0,0,0,0,1,0,7,6,7,8,53,99,7
50521584,74047902,duarteneves,4,0,0,0,0,0,0,0,0,2,0,10,9,10,14,53,99,7
50521584,74047902,miguel-motacruz,4,0,0,0,0,0,0,18,16,23,49,54,53,54,83,53,99,19
50521584,74047902,joserodpt,4,0,0,0,0,0,0,22,21,95,44,17,30,17,54,53,99,16
50521584,74047902,josemacedo03,4,0,0,0,0,0,0,5,5,18,11,28,11,28,58,53,99,18
50521584,74047902,cmdcarvalho,4,0,0,0,0,0,0,7,6,7,18,27,10,27,46,53,99,16
50521584,74047902,marianaguiomar,4,0,0,0,0,0,0,7,7,13,18,18,23,18,40,53,99,15
50521584,74047902,nmrfernandes,4,0,0,0,0,0,0,1,1,1,2,21,25,21,29,53,99,15
50521584,74047902,pedrocastro99,4,0,0,0,0,0,0,0,0,0,0,22,30,22,35,53,99,15
50521584,74047902,mateus_queiroz,4,0,0,0,0,0,0,0,0,0,0,11,11,11,16,53,99,12
50554251,74047902,oliveirasantosandremg,4,314,295517,43126,338643,43,0,40,40,433,293,34,37,34,120,2,452,17
50554251,74047902,jjooaoo.pereira,4,132,4607,2113,6720,21,0,15,15,76,119,13,12,13,23,2,452,12
50554251,74047902,ana.bea.roc,4,108,2293,1212,3505,18,0,15,15,56,132,8,10,8,19,2,452,12
50554251,74047902,sofia.parreira.santos,4,113,5815,6638,12453,21,0,10,10,59,92,4,16,4,35,2,452,12
50554251,74047902,martimgomesoliveira,4,146,2010,872,2882,26,0,0,0,0,0,0,0,0,0,2,452,10
50554251,74047902,yankovasofia,4,27,701,48,749,7,0,7,7,25,49,6,10,6,12,2,452,15
50554251,74047902,zecaprodriges,4,44,9148,411,9559,10,0,8,8,30,59,7,14,7,12,2,452,12
50554251,74047902,rodrigosa03,4,0,0,0,0,0,0,9,9,258,50,6,14,6,103,2,452,12
50554251,74047902,johnnyuc,4,0,0,0,0,0,0,9,9,377,75,16,18,16,132,2,452,17
50554251,74047902,luissalvador,4,0,0,0,0,0,0,5,5,33,56,27,0,27,19,2,452,12
50554251,74047902,jgsilva03,4,0,0,0,0,0,0,10,10,83,85,4,11,4,16,2,452,16
50554251,74047902,rafaarias,4,0,0,0,0,0,0,22,22,148,211,46,32,46,58,2,452,17
50554251,74047902,raquelcardoso2021240498,4,0,0,0,0,0,0,21,21,103,193,5,17,5,28,2,452,15
50554251,74047902,macboysupreme,4,0,0,0,0,0,0,14,14,174,125,6,16,6,55,2,452,15
50554251,74047902,salomemonteiro,4,0,0,0,0,0,0,11,11,58,106,7,15,7,21,2,452,12
50554251,74047902,beatriz_silva_2020216164,4,0,0,0,0,0,0,20,20,37,138,49,21,49,41,2,452,15
50554251,74047902,lauraac03,4,0,0,0,0,0,0,6,6,65,76,2,5,2,21,2,452,12
50554251,74047902,sara_amaral,4,0,0,0,0,0,0,11,11,20,70,6,14,6,12,2,452,12
50554251,74047902,joanafernandes,4,0,0,0,0,0,0,10,10,61,85,5,12,5,14,2,452,12
50554251,74047902,miguelfazenda,4,0,0,0,0,0,0,12,12,48,83,6,13,6,15,2,452,12
50554251,74047902,tiagohenriques02,4,0,0,0,0,0,0,9,9,34,61,6,11,6,12,2,452,12
50554251,74047902,duda_13,4,0,0,0,0,0,0,13,13,45,83,8,13,8,14,2,452,12
50554251,74047902,martababau,4,0,0,0,0,0,0,8,8,27,56,8,16,8,21,2,452,12
50554251,74047902,martimgomesoliveira,4,0,0,0,0,0,0,10,10,36,93,5,7,5,13,2,452,10
