project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554328,74047902,naseixas,5,9,57,3250,3307,3,0,0,0,0,0,0,0,0,1,11,244
50554328,74047902,dbsimoes20,5,30,403,457,860,6,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,diogosimoes,5,20,2757,3157,5914,6,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,afonso.gouveia.melo,5,103,42262,1920,44182,22,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,vascopereirabastos,5,147,141417,53886,195303,29,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,alexandracosta115,5,7,63,22,85,3,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,fsrosendo02,5,145,42745,2074,44819,20,0,19,18,61,62,41,33,41,58,11,244
50554328,74047902,tomas.tavares7,5,43,44418,3126,47544,14,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,132321237+Lufas360,5,23,536,297,833,14,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,marianamagueijo3005,5,16,323,115,438,9,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,cocfilipefsoares,5,10,182,56,238,5,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,estevao.abreu40,5,312,113117,15033,128150,34,0,36,29,148,109,38,38,38,68,11,244
50554328,74047902,santos.annasofia,5,48,314061,12155,326216,9,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,77duarte77,5,29,4211,3418,7629,9,0,7,6,10,28,6,7,6,6,11,244
50554328,74047902,146131789+simaosousa1610,5,3,391,358,749,3,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,marianamagueijo30,5,43,1181,587,1768,11,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,asdsd.070,5,80,1039,480,1519,9,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,uc2021199102,5,105,44397,645,45042,20,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,mpintodacunha,5,17,74390,49042,123432,5,0,1,1,2,2,2,0,2,3,11,244
50554328,74047902,ines.silva.marcelino,5,93,160937,92,161029,23,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,kpires2003,5,67,644,115,759,12,0,5,4,50,15,16,14,15,25,11,244
50554328,74047902,joaomatosn01,5,25,695,58,753,6,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,mmgomes,5,40,2537,1994,4531,5,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,pedrocatorze,5,49,850,301,1151,7,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,guterres,5,24,339,67,406,5,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,franciscoquerido_03,5,61,5939,642,6581,16,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,mariana22.01.2001,5,13,115,17,132,5,0,2,2,3,7,7,7,5,10,11,244
50554328,74047902,simaosousa,5,94,6268,890,7158,25,0,25,18,71,84,28,22,28,35,11,244
50554328,74047902,moirapc19,5,84,7824,9519,17343,13,0,11,9,29,49,14,16,13,21,11,244
50554328,74047902,miguelbraga,5,2,12,0,12,2,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,simao_sousa_16,5,26,2336,518,2854,15,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,luis.teixeirapereira15,5,1,14,0,14,1,0,0,0,1,0,2,1,2,1,11,244
50554328,74047902,joaodsfonseca727,5,3,18,5,23,1,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,uc2020218429,5,69,820,195,1015,13,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,braga.mfs,5,60,46851,1142,47993,10,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,anasofia,5,2,3,0,3,1,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,lufas3henriques,5,27,987,552,1539,10,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,filipefreiresoares,5,2,40,14,54,2,0,0,0,0,0,0,0,0,0,11,244
50554328,74047902,ghost1,5,0,0,0,0,0,0,7,3,49,52,4,0,4,9,11,244
50554328,74047902,thejacknives,5,0,0,0,0,0,0,14,13,86,57,19,28,19,40,11,244
50554328,74047902,mmagueijo,5,0,0,0,0,0,0,13,13,52,74,25,26,25,25,11,244
50554328,74047902,filipesoares06,5,0,0,0,0,0,0,4,3,13,14,12,12,12,12,11,244
