project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554251,74047902,naseixas,4,8,0,3250,3250,2,0,0,0,0,0,0,0,0,1,2,452
50554251,74047902,fragus03,4,135,6771,1333,8104,30,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,alfernandes,4,266,107035,193908,300943,34,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021223358,4,48,2992,1218,4210,24,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,rodrigodesa2003,4,132,15974,4619,20593,29,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,lauraacaetano18,4,83,1543,943,2486,18,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,oliveirasantosandremg,4,314,295517,43126,338643,43,0,40,40,433,293,34,37,34,120,2,452
50554251,74047902,uc2019218410,4,68,1632,528,2160,5,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,joaogomes.silva03,4,105,4771,1679,6450,20,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,jjooaoo.pereira,4,132,4607,2113,6720,21,0,15,15,76,119,13,12,13,23,2,452
50554251,74047902,miguel1leopoldo,4,80,2037,1492,3529,20,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,rafaelarias,4,188,10780,9077,19857,32,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,ana.bea.roc,4,108,2293,1212,3505,18,0,15,15,56,132,8,10,8,19,2,452
50554251,74047902,sofia.parreira.santos,4,113,5815,6638,12453,21,0,10,10,59,92,4,16,4,35,2,452
50554251,74047902,uc2020216164,4,85,1343,137,1480,23,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,raquelmgcardoso01,4,201,487767,345508,833275,37,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021220627,4,190,14147,6266,20413,20,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021247604,4,132,2217,344,2561,24,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021225109,4,54,928,466,1394,20,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,sara.m.amaraal,4,81,5205,1702,6907,21,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021247569,4,130,3581,569,4150,31,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2019222229,4,93,9372,4960,14332,21,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2020237060,4,61,4878,3409,8287,19,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021226821,4,62,5187,2443,7630,13,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,eduardoferreira1329,4,66,1263,555,1818,16,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021212100,4,161,4902,1234,6136,29,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,martimgomesoliveira,4,146,2010,872,2882,26,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,jonibpereira,4,67,6832,3229,10061,15,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021223430,4,132,37726,17043,54769,20,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,silassequeiraa,4,8,48,0,48,1,0,1,1,2,4,1,0,1,3,2,452
50554251,74047902,miguelleopoldo,4,106,5876,2432,8308,25,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,dbsimoes20,4,103,1041,1978,3019,11,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,diogosimoes,4,222,23863,21188,45051,35,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2019208442,4,5,254,44,298,3,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,salome.s.monteiro,4,26,1049,305,1354,14,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,yankovasofia,4,27,701,48,749,7,0,7,7,25,49,6,10,6,12,2,452
50554251,74047902,zecaprodriges,4,44,9148,411,9559,10,0,8,8,30,59,7,14,7,12,2,452
50554251,74047902,martantunes2003,4,14,224,23,247,6,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,manalbuquerque2003,4,50,1085,47,1132,16,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2021216180,4,60,4017,47,4064,15,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,uc2020230591,4,10,734,103,837,3,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,128982100+MiguelFazenda2001,4,1,154,31,185,1,0,0,0,0,0,0,0,0,0,2,452
50554251,74047902,rodrigosa03,4,0,0,0,0,0,0,9,9,258,50,6,14,6,103,2,452
50554251,74047902,johnnyuc,4,0,0,0,0,0,0,9,9,377,75,16,18,16,132,2,452
50554251,74047902,LuisSalvador,4,0,0,0,0,0,0,5,5,33,56,27,0,27,19,2,452
50554251,74047902,jgsilva03,4,0,0,0,0,0,0,10,10,83,85,4,11,4,16,2,452
50554251,74047902,RafaArias,4,0,0,0,0,0,0,22,22,148,211,46,32,46,58,2,452
50554251,74047902,raquelcardoso2021240498,4,0,0,0,0,0,0,21,21,103,193,5,17,5,28,2,452
50554251,74047902,MacBoySupreme,4,0,0,0,0,0,0,14,14,174,125,6,16,6,55,2,452
50554251,74047902,salomemonteiro,4,0,0,0,0,0,0,11,11,58,106,7,15,7,21,2,452
50554251,74047902,Beatriz_Silva_2020216164,4,0,0,0,0,0,0,20,20,37,138,49,21,49,41,2,452
50554251,74047902,lauraac03,4,0,0,0,0,0,0,6,6,65,76,2,5,2,21,2,452
50554251,74047902,Sara_Amaral,4,0,0,0,0,0,0,11,11,20,70,6,14,6,12,2,452
50554251,74047902,JoanaFernandes,4,0,0,0,0,0,0,10,10,61,85,5,12,5,14,2,452
50554251,74047902,MiguelFazenda,4,0,0,0,0,0,0,12,12,48,83,6,13,6,15,2,452
50554251,74047902,TiagoHenriques02,4,0,0,0,0,0,0,9,9,34,61,6,11,6,12,2,452
50554251,74047902,Duda_13,4,0,0,0,0,0,0,13,13,45,83,8,13,8,14,2,452
50554251,74047902,martababau,4,0,0,0,0,0,0,8,8,27,56,8,16,8,21,2,452
50554251,74047902,MartimGomesOliveira,4,0,0,0,0,0,0,10,10,36,93,5,7,5,13,2,452
50554251,74047902,Jonas12343J,4,0,0,0,0,0,0,19,19,179,199,18,30,18,44,2,452
50554251,74047902,miguel_miranda20,4,0,0,0,0,0,0,32,32,149,214,63,35,63,100,2,452
50554251,74047902,mshrmoo,4,0,0,0,0,0,0,16,16,96,114,28,19,28,46,2,452
50554251,74047902,ghost1,4,0,0,0,0,0,0,22,22,571,219,21,0,21,137,2,452
50554251,74047902,miguelleopoldoUC,4,0,0,0,0,0,0,29,29,73,201,62,45,62,80,2,452
50554251,74047902,GustaTheCreator,4,0,0,0,0,0,0,26,26,220,191,52,30,52,59,2,452
50554251,74047902,Francisco933,4,0,0,0,0,0,0,1,1,5,6,1,1,1,3,2,452
50554251,74047902,Malbuquerque03,4,0,0,0,0,0,0,7,7,54,66,5,10,5,15,2,452
50554251,74047902,martasqpp,4,0,0,0,0,0,0,9,9,41,67,8,10,8,16,2,452
50554251,74047902,pedromureira,4,0,0,0,0,0,0,1,1,2,7,1,1,1,2,2,452
