project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
50521584,74047902,tomas7025,2,29,7733,2803,10536,12,0,0,0,0,0,8,7,8,14,53,31,15
50521584,74047902,franciscosilva.fs227,2,38,625,56,681,11,0,0,0,0,0,8,7,8,10,53,31,16
50521584,74047902,joaosamueldiogo,2,35,8024,1590,9614,10,0,1,1,1,7,7,8,7,8,53,31,15
50521584,74047902,catarinasilva2003,2,23,6914,1532,8446,6,0,0,0,0,0,11,15,11,12,53,31,16
50521584,74047902,be.felix09,2,19,51066,165,51231,8,0,1,0,4,0,6,6,6,6,53,31,16
50521584,74047902,artur2002,2,0,0,0,0,0,0,5,5,20,52,9,8,9,10,53,31,16
50521584,74047902,hugo8marques,2,0,0,0,0,0,0,0,0,13,0,8,9,8,9,53,31,15
50521584,74047902,anacmorais,2,0,0,0,0,0,0,4,3,5,9,14,12,14,20,53,31,19
50521584,74047902,sjooaaoo,2,0,0,0,0,0,0,0,0,1,0,11,10,11,17,53,31,16
50521584,74047902,migworksonlab,2,0,0,0,0,0,0,0,0,10,0,10,9,10,10,53,31,15
50521584,74047902,guilherme.m,2,0,0,0,0,0,0,0,0,2,0,4,4,4,4,53,31,7
50521584,74047902,hugocidra,2,0,0,0,0,0,0,0,0,2,0,9,7,9,9,53,31,12
50521584,74047902,rodrig0liveira,2,0,0,0,0,0,0,3,3,15,29,8,8,8,9,53,31,15
50521584,74047902,stefanosdei,2,0,0,0,0,0,0,1,1,6,3,6,6,6,6,53,31,15
50521584,74047902,ricardosimoes2019231869,2,0,0,0,0,0,0,1,0,4,0,10,14,10,12,53,31,18
50521584,74047902,antoniotavaresmartins,2,0,0,0,0,0,0,0,0,1,0,4,1,4,4,53,31,10
50521584,74047902,tiago_conceicao,2,0,0,0,0,0,0,0,0,2,0,4,4,4,4,53,31,12
50521584,74047902,raulserrarodrigues,2,0,0,0,0,0,0,0,0,1,0,6,5,6,6,53,31,13
50521584,74047902,mnavalho,2,0,0,0,0,0,0,5,5,13,10,7,7,7,8,53,31,15
50521584,74047902,cordeir0,2,0,0,0,0,0,0,0,0,1,0,5,5,5,6,53,31,7
50521584,74047902,duarteneves,2,0,0,0,0,0,0,0,0,2,0,5,5,5,7,53,31,7
50521584,74047902,miguel-motacruz,2,0,0,0,0,0,0,3,2,5,9,18,17,18,28,53,31,19
50521584,74047902,joserodpt,2,0,0,0,0,0,0,10,9,29,20,12,14,12,19,53,31,16
50521584,74047902,josemacedo03,2,0,0,0,0,0,0,2,2,5,5,11,6,11,18,53,31,18
50521584,74047902,cmdcarvalho,2,0,0,0,0,0,0,1,1,1,2,10,6,10,15,53,31,16
50521584,74047902,marianaguiomar,2,0,0,0,0,0,0,0,0,1,0,8,10,8,13,53,31,15
50521584,74047902,pedrocastro99,2,0,0,0,0,0,0,0,0,0,0,8,9,8,15,53,31,15
50521584,74047902,nmrfernandes,2,0,0,0,0,0,0,0,0,0,0,9,8,9,11,53,31,15
50521584,74047902,mateus_queiroz,2,0,0,0,0,0,0,0,0,0,0,5,5,5,6,53,31,12
50554251,74047902,oliveirasantosandremg,2,104,9148,3106,12254,17,0,15,15,145,95,8,12,8,36,2,160,17
50554251,74047902,jjooaoo.pereira,2,31,1030,162,1192,6,0,3,3,14,23,2,4,2,6,2,160,12
50554251,74047902,ana.bea.roc,2,22,349,22,371,6,0,5,5,22,49,1,4,1,6,2,160,12
50554251,74047902,sofia.parreira.santos,2,30,287,38,325,7,0,3,3,8,23,1,4,1,5,2,160,12
50554251,74047902,martimgomesoliveira,2,29,407,324,731,4,0,0,0,0,0,0,0,0,0,2,160,10
50554251,74047902,rodrigosa03,2,0,0,0,0,0,0,5,5,81,22,1,5,1,42,2,160,12
50554251,74047902,johnnyuc,2,0,0,0,0,0,0,5,5,149,42,5,6,5,49,2,160,17
50554251,74047902,luissalvador,2,0,0,0,0,0,0,5,5,33,56,27,0,27,19,2,160,12
50554251,74047902,jgsilva03,2,0,0,0,0,0,0,3,3,22,16,1,6,1,6,2,160,16
50554251,74047902,rafaarias,2,0,0,0,0,0,0,3,3,5,19,1,9,1,10,2,160,17
50554251,74047902,raquelcardoso2021240498,2,0,0,0,0,0,0,9,9,49,90,2,11,2,13,2,160,15
50554251,74047902,macboysupreme,2,0,0,0,0,0,0,6,6,47,40,1,9,1,16,2,160,15
50554251,74047902,salomemonteiro,2,0,0,0,0,0,0,4,4,18,36,1,5,1,7,2,160,12
50554251,74047902,beatriz_silva_2020216164,2,0,0,0,0,0,0,9,9,21,65,27,10,27,12,2,160,15
50554251,74047902,lauraac03,2,0,0,0,0,0,0,2,2,25,39,1,3,1,3,2,160,12
50554251,74047902,sara_amaral,2,0,0,0,0,0,0,4,4,7,25,2,5,2,5,2,160,12
50554251,74047902,joanafernandes,2,0,0,0,0,0,0,4,4,6,28,1,5,1,7,2,160,12
50554251,74047902,miguelfazenda,2,0,0,0,0,0,0,4,4,18,30,1,4,1,4,2,160,12
50554251,74047902,tiagohenriques02,2,0,0,0,0,0,0,2,2,10,16,1,3,1,3,2,160,12
50554251,74047902,duda_13,2,0,0,0,0,0,0,3,3,13,26,1,4,1,4,2,160,12
50554251,74047902,martababau,2,0,0,0,0,0,0,4,4,8,26,1,6,1,6,2,160,12
50554251,74047902,martimgomesoliveira,2,0,0,0,0,0,0,4,4,10,30,1,5,1,5,2,160,10
50554251,74047902,jonas12343j,2,0,0,0,0,0,0,5,5,45,74,3,7,3,13,2,160,16
50554251,74047902,miguel_miranda20,2,0,0,0,0,0,0,9,9,32,53,22,9,22,18,2,160,15
50554251,74047902,mshrmoo,2,0,0,0,0,0,0,4,4,20,31,1,4,1,6,2,160,15
50554251,74047902,miguelleopoldouc,2,0,0,0,0,0,0,15,15,33,103,36,16,36,34,2,160,17
50554251,74047902,gustathecreator,2,0,0,0,0,0,0,8,8,108,61,33,14,33,20,2,160,17
50554251,74047902,francisco933,2,0,0,0,0,0,0,1,1,1,6,1,1,1,1,2,160,9
50554251,74047902,malbuquerque03,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,160,12
50554251,74047902,martasqpp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,160,15
50554274,74047902,pedromiguelbritesantos,2,24,10423,740,11163,4,0,5,3,16,24,2,4,2,6,2,158,10
50554274,74047902,menesesm133,2,24,416,32,448,6,0,3,3,9,19,2,3,2,6,2,158,10
50554274,74047902,henriquejlm,2,24,1474,214,1688,6,0,0,0,0,0,0,0,0,0,2,158,16
50554274,74047902,tiagoorietnomdias,2,18,10046,141,10187,6,0,3,3,7,14,2,4,2,10,2,158,12
50554274,74047902,brunoalmeida7426,2,23,730,9241,9971,7,0,8,4,26,60,6,6,6,10,2,158,15
50554274,74047902,curvu,2,0,0,0,0,0,0,12,12,399,67,18,30,18,127,2,158,17
50554274,74047902,frederico.ferreira2,2,0,0,0,0,0,0,17,17,203,108,18,65,18,105,2,158,19
50554274,74047902,marcelogms,2,0,0,0,0,0,0,3,3,44,32,6,11,6,20,2,158,12
50554274,74047902,reapperdxd,2,0,0,0,0,0,0,9,9,56,93,25,1,25,32,2,158,17
50554274,74047902,simaomoreira,2,0,0,0,0,0,0,2,2,11,27,1,1,1,8,2,158,10
50554274,74047902,lucas03miguel,2,0,0,0,0,0,0,4,3,10,27,1,1,1,9,2,158,12
50554274,74047902,henriquejlm,2,0,0,0,0,0,0,4,3,20,26,2,2,2,10,2,158,16
50554274,74047902,joelnoliveira,2,0,0,0,0,0,0,9,9,35,59,17,11,17,19,2,158,16
50554274,74047902,claudiatorres_uc,2,0,0,0,0,0,0,10,9,24,45,25,3,25,33,2,158,16
50554274,74047902,miguelm03,2,0,0,0,0,0,0,3,3,7,21,2,2,2,6,2,158,12
