project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
50521584,74047902,tomas7025,5,107,131592,42071,173663,36,0,0,0,1,0,24,21,24,44,53,139,15
50521584,74047902,franciscosilva.fs227,5,100,15539,2403,17942,31,0,0,0,0,0,29,27,29,38,53,139,16
50521584,74047902,joaosamueldiogo,5,85,342626,17887,360513,26,0,3,2,5,13,17,23,17,23,53,139,15
50521584,74047902,catarinasilva2003,5,91,347909,17917,365826,24,0,12,11,12,25,26,33,26,35,53,139,16
50521584,74047902,be.felix09,5,54,65615,780,66395,23,0,1,0,5,0,12,12,12,13,53,139,16
50521584,74047902,artur2002,5,0,0,0,0,0,0,21,20,54,106,18,15,18,23,53,139,16
50521584,74047902,hugo8marques,5,0,0,0,0,0,0,0,0,14,0,11,14,11,13,53,139,15
50521584,74047902,anacmorais,5,0,0,0,0,0,0,4,3,6,9,30,26,30,46,53,139,19
50521584,74047902,sjooaaoo,5,0,0,0,0,0,0,0,0,1,0,40,17,40,60,53,139,16
50521584,74047902,migworksonlab,5,0,0,0,0,0,0,0,0,32,0,15,14,15,15,53,139,15
50521584,74047902,guilherme.m,5,0,0,0,0,0,0,1,1,2,6,7,7,7,7,53,139,7
50521584,74047902,hugocidra,5,0,0,0,0,0,0,0,0,3,0,17,15,17,17,53,139,12
50521584,74047902,rodrig0liveira,5,0,0,0,0,0,0,4,4,17,31,17,17,17,19,53,139,15
50521584,74047902,stefanosdei,5,0,0,0,0,0,0,1,1,6,3,14,14,14,14,53,139,15
50521584,74047902,ricardosimoes2019231869,5,0,0,0,0,0,0,1,0,4,0,24,32,24,29,53,139,18
50521584,74047902,antoniotavaresmartins,5,0,0,0,0,0,0,1,0,1,0,9,1,9,9,53,139,10
50521584,74047902,tiago_conceicao,5,0,0,0,0,0,0,0,0,2,0,13,13,13,15,53,139,12
