project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554251,74047902,naseixas,1,8,0,3250,3250,2,0,0,0,0,0,0,0,0,1,2,32
50554251,74047902,fragus03,1,8,663,3,666,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,alfernandes,1,12,546,291,837,4,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021223358,1,5,210,0,210,2,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,rodrigodesa2003,1,25,133,0,133,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,lauraacaetano18,1,17,66,12,78,5,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,oliveirasantosandremg,1,26,418,59,477,6,0,3,3,61,17,2,1,2,4,2,32
50554251,74047902,uc2019218410,1,7,19,1,20,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,joaogomes.silva03,1,13,72,0,72,5,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,jjooaoo.pereira,1,14,72,6,78,4,0,1,1,6,11,1,0,1,1,2,32
50554251,74047902,miguel1leopoldo,1,2,6,0,6,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,rafaelarias,1,17,73,7,80,4,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,ana.bea.roc,1,9,54,0,54,3,0,1,1,9,12,1,1,1,1,2,32
50554251,74047902,sofia.parreira.santos,1,10,48,6,54,4,0,1,1,0,6,1,1,1,1,2,32
50554251,74047902,uc2020216164,1,10,63,0,63,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,raquelmgcardoso01,1,13,72,0,72,4,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021220627,1,3,18,0,18,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021247604,1,10,62,1,63,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021225109,1,8,48,0,48,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,sara.m.amaraal,1,10,60,0,60,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021247569,1,10,60,0,60,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2019222229,1,14,67,1,68,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2020237060,1,2,6,0,6,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021226821,1,9,54,0,54,3,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,eduardoferreira1329,1,7,42,0,42,2,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021212100,1,5,18,6,24,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,martimgomesoliveira,1,9,54,0,54,2,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,jonibpereira,1,1,6,0,6,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,uc2021223430,1,9,54,0,54,2,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,silassequeiraa,1,8,48,0,48,1,0,1,1,2,4,1,0,1,1,2,32
50554251,74047902,miguelleopoldo,1,4,25,8,33,2,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,dbsimoes20,1,14,69,299,368,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,diogosimoes,1,7,94,416,510,1,0,0,0,0,0,0,0,0,0,2,32
50554251,74047902,rodrigosa03,1,0,0,0,0,0,0,2,2,32,4,1,1,1,23,2,32
50554251,74047902,johnnyuc,1,0,0,0,0,0,0,2,2,26,17,2,2,2,15,2,32
50554251,74047902,LuisSalvador,1,0,0,0,0,0,0,1,1,2,3,1,0,1,1,2,32
50554251,74047902,jgsilva03,1,0,0,0,0,0,0,1,1,0,6,1,1,1,1,2,32
50554251,74047902,RafaArias,1,0,0,0,0,0,0,1,1,2,8,1,1,1,1,2,32
50554251,74047902,raquelcardoso2021240498,1,0,0,0,0,0,0,1,1,0,5,1,1,1,2,2,32
50554251,74047902,MacBoySupreme,1,0,0,0,0,0,0,1,1,4,4,1,1,1,1,2,32
50554251,74047902,salomemonteiro,1,0,0,0,0,0,0,1,1,1,8,1,1,1,1,2,32
50554251,74047902,Beatriz_Silva_2020216164,1,0,0,0,0,0,0,1,1,0,4,1,1,1,1,2,32
50554251,74047902,lauraac03,1,0,0,0,0,0,0,1,1,6,12,1,1,1,1,2,32
50554251,74047902,Sara_Amaral,1,0,0,0,0,0,0,1,1,0,5,1,1,1,1,2,32
50554251,74047902,JoanaFernandes,1,0,0,0,0,0,0,1,1,0,4,1,1,1,1,2,32
50554251,74047902,MiguelFazenda,1,0,0,0,0,0,0,1,1,1,7,1,1,1,1,2,32
50554251,74047902,TiagoHenriques02,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,32
50554251,74047902,Duda_13,1,0,0,0,0,0,0,1,1,6,10,1,1,1,1,2,32
50554251,74047902,martababau,1,0,0,0,0,0,0,1,1,1,5,1,1,1,1,2,32
50554251,74047902,MartimGomesOliveira,1,0,0,0,0,0,0,1,1,2,5,1,1,1,1,2,32
50554251,74047902,Jonas12343J,1,0,0,0,0,0,0,1,1,4,6,1,1,1,1,2,32
50554251,74047902,miguel_miranda20,1,0,0,0,0,0,0,1,1,1,2,1,1,1,1,2,32
50554251,74047902,mshrmoo,1,0,0,0,0,0,0,1,1,3,9,1,1,1,1,2,32
50554251,74047902,ghost1,1,0,0,0,0,0,0,3,3,46,29,3,0,3,10,2,32
50554251,74047902,miguelleopoldoUC,1,0,0,0,0,0,0,1,1,1,5,1,2,1,2,2,32
50554251,74047902,GustaTheCreator,1,0,0,0,0,0,0,1,1,3,13,3,3,3,3,2,32
