project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
50521584,74047902,tomas7025,3,53,121460,38671,160131,20,0,0,0,0,0,13,12,13,23,53,54,15
50521584,74047902,franciscosilva.fs227,3,53,714,89,803,18,0,0,0,0,0,14,14,14,20,53,54,16
50521584,74047902,joaosamueldiogo,3,47,303693,2906,306599,15,0,1,1,1,7,10,13,10,13,53,54,15
50521584,74047902,catarinasilva2003,3,35,303928,2512,306440,12,0,4,3,4,7,16,21,16,18,53,54,16
50521584,74047902,be.felix09,3,34,64409,171,64580,13,0,1,0,4,0,10,10,10,11,53,54,16
50521584,74047902,artur2002,3,0,0,0,0,0,0,10,10,30,71,10,9,10,13,53,54,16
50521584,74047902,hugo8marques,3,0,0,0,0,0,0,0,0,13,0,8,9,8,9,53,54,15
50521584,74047902,anacmorais,3,0,0,0,0,0,0,4,3,5,9,21,21,21,32,53,54,19
50521584,74047902,sjooaaoo,3,0,0,0,0,0,0,0,0,1,0,18,14,18,26,53,54,16
50521584,74047902,migworksonlab,3,0,0,0,0,0,0,0,0,19,0,12,11,12,12,53,54,15
50521584,74047902,guilherme.m,3,0,0,0,0,0,0,0,0,2,0,4,4,4,4,53,54,7
50521584,74047902,hugocidra,3,0,0,0,0,0,0,0,0,2,0,12,10,12,12,53,54,12
50521584,74047902,rodrig0liveira,3,0,0,0,0,0,0,3,3,15,29,10,10,10,11,53,54,15
50521584,74047902,stefanosdei,3,0,0,0,0,0,0,1,1,6,3,8,8,8,8,53,54,15
50521584,74047902,ricardosimoes2019231869,3,0,0,0,0,0,0,1,0,4,0,13,19,13,16,53,54,18
50521584,74047902,antoniotavaresmartins,3,0,0,0,0,0,0,0,0,1,0,7,1,7,7,53,54,10
50521584,74047902,tiago_conceicao,3,0,0,0,0,0,0,0,0,2,0,8,8,8,8,53,54,12
50521584,74047902,raulserrarodrigues,3,0,0,0,0,0,0,0,0,1,0,11,10,11,11,53,54,13
50521584,74047902,mnavalho,3,0,0,0,0,0,0,11,11,23,20,10,10,10,13,53,54,15
50521584,74047902,cordeir0,3,0,0,0,0,0,0,0,0,1,0,6,5,6,7,53,54,7
50521584,74047902,duarteneves,3,0,0,0,0,0,0,0,0,2,0,7,6,7,10,53,54,7
50521584,74047902,miguel-motacruz,3,0,0,0,0,0,0,5,4,8,13,25,25,25,47,53,54,19
50521584,74047902,joserodpt,3,0,0,0,0,0,0,16,15,52,32,14,19,14,28,53,54,16
50521584,74047902,josemacedo03,3,0,0,0,0,0,0,3,3,9,7,20,7,20,31,53,54,18
50521584,74047902,cmdcarvalho,3,0,0,0,0,0,0,3,2,3,10,15,9,15,25,53,54,16
50521584,74047902,marianaguiomar,3,0,0,0,0,0,0,2,2,3,5,10,14,10,19,53,54,15
50521584,74047902,pedrocastro99,3,0,0,0,0,0,0,0,0,0,0,14,15,14,21,53,54,15
50521584,74047902,nmrfernandes,3,0,0,0,0,0,0,0,0,0,0,14,13,14,16,53,54,15
50521584,74047902,mateus_queiroz,3,0,0,0,0,0,0,0,0,0,0,8,8,8,12,53,54,12
50554251,74047902,oliveirasantosandremg,3,197,15424,27457,42881,28,0,25,25,297,182,15,22,15,80,2,293,17
50554251,74047902,jjooaoo.pereira,3,79,2816,1722,4538,14,0,9,9,48,74,7,8,7,14,2,293,12
50554251,74047902,ana.bea.roc,3,57,1020,230,1250,8,0,10,10,42,92,3,5,3,12,2,293,12
50554251,74047902,sofia.parreira.santos,3,92,5578,6329,11907,15,0,7,7,22,69,2,10,2,14,2,293,12
50554251,74047902,martimgomesoliveira,3,98,1690,631,2321,15,0,0,0,0,0,0,0,0,0,2,293,10
50554251,74047902,yankovasofia,3,10,136,11,147,3,0,3,3,5,19,3,4,3,5,2,293,15
50554251,74047902,zecaprodriges,3,26,658,110,768,5,0,5,5,18,38,3,7,3,5,2,293,12
50554251,74047902,rodrigosa03,3,0,0,0,0,0,0,7,7,172,36,4,11,4,74,2,293,12
50554251,74047902,johnnyuc,3,0,0,0,0,0,0,6,6,244,50,9,8,9,79,2,293,17
50554251,74047902,luissalvador,3,0,0,0,0,0,0,5,5,33,56,27,0,27,19,2,293,12
